"Carimbo de data/hora","Nome (operador)","#TICKET","CONTRATO"
"2023/05/10 2:59:46 PM GMT-3","Franciny Silvano","Ticket #51479","PJ COLETIVO ADESÃO"
"2023/05/10 3:01:18 PM GMT-3","arian","Ticket: #51438","INTERCAMBIO"
"2023/05/10 3:02:00 PM GMT-3","Érika Mulassani Mainardi ","Ticket: #51354","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:03:01 PM GMT-3","Érika Mulassani Mainardi","Ticket: #51459","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:03:38 PM GMT-3","Nicoly Lima","Ticket: #51537","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:04:18 PM GMT-3","Érika Mulasani Mainardi ","Ticket: #51490","PJ COLETIVO ADESÃO"
"2023/05/10 3:04:32 PM GMT-3","Franciny Silvano","Ticket #51485","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:05:27 PM GMT-3","Érika Mulassani Mainardi ","Ticket: #51497","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:06:00 PM GMT-3","Érika Mulassani Mainardi ","Ticket: #51498","INTERCAMBIO"
"2023/05/10 3:06:02 PM GMT-3","juliana","#51287","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:06:08 PM GMT-3","arian","Ticket: #51439","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:06:56 PM GMT-3","Érika Mulassani Mainardi","Ticket: #51499","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:07:46 PM GMT-3","Érika Mainardi Mulassani ","Ticket: #51500","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:08:55 PM GMT-3","Érika Mulassani Mainardi ","Ticket: #51501","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:08:59 PM GMT-3","Nicoly Lima","Ticket: #51538","PF"
"2023/05/10 3:09:45 PM GMT-3","VAL","Ticket #51551","INTERCAMBIO"
"2023/05/10 3:10:04 PM GMT-3","Érika Mulassani Mainardi","Ticket: #51502","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:10:50 PM GMT-3","Nicoly Lima","Ticket: #51552","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:10:59 PM GMT-3","Érika Mulassani Mainardi","Ticket: #51503","PJ COLETIVO ADESÃO"
"2023/05/10 3:11:04 PM GMT-3","Davi","Ticket #51373","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:12:25 PM GMT-3","Milenna","Ticket #51357","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:12:58 PM GMT-3","Mallone Almeida","Ticket: #51417","PF"
"2023/05/10 3:14:41 PM GMT-3","Nicoly Lima","Ticket: #51539","PF"
"2023/05/10 3:15:36 PM GMT-3","juliana"," #51286","INTERCAMBIO"
"2023/05/10 3:18:54 PM GMT-3","Davi","Ticket #51359","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:20:03 PM GMT-3","juliana","#51402","PF"
"2023/05/10 3:21:53 PM GMT-3","VAL","Ticket #51560","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:23:01 PM GMT-3","arian","Ticket: #51440","PJ COLETIVO ADESÃO"
"2023/05/10 3:25:36 PM GMT-3","Davi","Ticket #51405","INTERCAMBIO"
"2023/05/10 3:27:15 PM GMT-3","juliana","#51431","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:29:04 PM GMT-3","Davi","Ticket #51382","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:33:10 PM GMT-3","Davi","Ticket #51407","PF"
"2023/05/10 3:34:09 PM GMT-3","Davi","Ticket #51416","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:34:25 PM GMT-3","Mallone Almeida","Ticket: #51521","PF"
"2023/05/10 3:36:16 PM GMT-3","MILENNA","Ticket #51520","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:36:36 PM GMT-3","Nicoly Lima","Ticket: #51541","PF"
"2023/05/10 3:37:16 PM GMT-3","Mallone Almeida","Ticket: #51475","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:38:21 PM GMT-3","Milenna","Ticket #51536","PF"
"2023/05/10 3:39:21 PM GMT-3","Milenna","Ticket #51574","PJ COLETIVO EMPRESARIAL"
"2023/05/10 3:42:38 PM GMT-3","Milenna","Ticket #51576","PJ EMPRESARIAL"
"2023/05/10 3:44:02 PM GMT-3","Milenna","Ticket #51575","FUNDAÇOES"
"2023/05/10 3:45:10 PM GMT-3","Davi ","Ticket #51523","FUNDAÇOES"
"2023/05/10 3:45:46 PM GMT-3","Nicoly lima","Ticket: #51559","UFSC"
"2023/05/10 3:48:31 PM GMT-3","Nicoly lima","Ticket: #51580","PF"
"2023/05/10 3:48:37 PM GMT-3","Davi","Ticket #51586","PF"
"2023/05/10 3:48:51 PM GMT-3","Franciny Silvano","Ticket #51492","PJ EMPRESARIAL"
"2023/05/10 3:49:07 PM GMT-3","Franciny Silvano","Ticket #51508","PJ EMPRESARIAL"
"2023/05/10 3:49:58 PM GMT-3","juliana","#51403","INTERCAMBIO"
"2023/05/10 3:50:47 PM GMT-3","arian","Ticket: #51446","PF"
"2023/05/10 3:52:53 PM GMT-3","Franciny Silvano","Ticket #51509","PF"
"2023/05/10 3:53:23 PM GMT-3","arian","Ticket: #51447","PF"
"2023/05/10 3:55:53 PM GMT-3","JULIANA","#51430","PJ EMPRESARIAL"
"2023/05/10 3:56:14 PM GMT-3","Rômulo","Ticket #51591","PJ EMPRESARIAL"
"2023/05/10 4:01:07 PM GMT-3","Rômulo ","Ticket #51608","PJ COLETIVO POR ADESÃO"
"2023/05/10 4:02:22 PM GMT-3","Davi","Ticket #51531","PJ EMPRESARIAL"
